INFORME COVID19 REGIONAL DIARIO A   17/11/2020;;;;;;;;
;;;;;;;;
Tabla 1. Casos confirmados COVID19 desde 10 de mayo por municipio residencia (N=49387). Región de Murcia;;;;;;;;
Municipio;Población;Casos PCR/Ag.+ acum.;% Total casos;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.14 días
Abanilla;6127;240;0,004859578;3917,088298;37;603,8844459;6;97,92720744
Abarán;12964;254;0,005143054;1959,27183;53;408,8244369;15;115,7050293
Águilas;35301;470;0,009516674;1331,407042;54;152,9701708;19;53,82283788
Albudeite;1373;40;0,00080993;2913,328478;21;1529,497451;4;291,3328478
Alcantarilla;42048;1448;0,029319457;3443,683409;360;856,1643836;140;332,9528158
Alcázares, Los;16138;374;0,007572843;2317,511464;120;743,5865659;58;359,4001735
Aledo;1022;34;0,00068844;3326,810176;17;1663,405088;1;97,84735812
Alguazas;9638;386;0,007815822;4004,980286;70;726,2917618;22;228,2631251
Alhama de Murcia;22077;1022;0,020693705;4629,252163;276;1250,16986;114;516,3745074
Archena;19301;887;0,017960192;4595,616807;196;1015,491425;84;435,2106108
Beniel;11318;395;0,007998056;3490,015904;48;424,1031984;18;159,0386994
Blanca;6539;166;0,003361208;2538,614467;67;1024,621502;33;504,6643218
Bullas;11530;278;0,005629012;2411,101474;55;477,0164788;24;208,1526453
Calasparra;10178;116;0,002348796;1139,713107;56;550,2063274;26;255,4529377
Campos del Río;2028;92;0,001862838;4536,489152;13;641,025641;3;147,9289941
Caravaca de la Cruz;25760;1127;0,02281977;4375;472;1832,298137;178;690,9937888
Cartagena;214802;3793;0,076801587;1765,812236;674;313,7773391;270;125,6971537
Cehegín;14983;438;0,008868731;2923,313088;225;1501,701929;81;540,6126944
Ceutí;11787;510;0,010326604;4326,800713;91;772,0369899;29;246,033766
Cieza;34988;947;0,019175087;2706,642277;193;551,6176975;92;262,9472962
Fortuna;10112;503;0,010184866;4974,287975;82;810,9177215;16;158,2278481
Fuente Álamo de Murcia;16583;744;0,015064693;4486,522342;179;1079,418682;81;488,4520292
Jumilla;25600;1691;0,03423978;6605,46875;266;1039,0625;121;472,65625
Librilla;5305;125;0,00253103;2356,267672;38;716,3053723;16;301,602262
Lorca;94404;4472;0,090550145;4737,087412;484;512,6901402;228;241,51519
Lorquí;7141;292;0,005912487;4089,063156;22;308,0801008;10;140,0364095
Mazarrón;32209;746;0,01510519;2316,122823;164;509,1744543;64;198,7022261
Molina de Segura;71890;2352;0,047623869;3271,665044;327;454,8615941;108;150,2295173
Moratalla;7839;278;0,005629012;3546,370711;109;1390,48348;27;344,4316877
Mula;16883;571;0,011561747;3382,100338;91;539,0037316;34;201,3860096
Murcia;453258;14588;0,295381376;3218,476011;3218;709,9709216;1200;264,7498776
Ojós;500;8;0,000161986;1600;1;200;0;0
Pliego;3847;78;0,001579363;2027,553938;17;441,9027814;9;233,9485313
Puerto Lumbreras;15394;304;0,006155466;1974,795375;84;545,667143;47;305,3137586
Ricote;1264;36;0,000728937;2848,101266;10;791,1392405;3;237,3417722
San Javier;32489;947;0,019175087;2914,832713;257;791,0369664;82;252,3931177
San Pedro del Pinatar;25476;546;0,011055541;2143,193594;163;639,8178678;58;227,6652536
Santomera;16206;458;0,009273696;2826,113785;43;265,333827;14;86,38775762
Torre-Pacheco;35676;1385;0,028043817;3882,161677;296;829,6894271;136;381,2086557
Torres de Cotillas, Las;21471;731;0,014801466;3404,592241;147;684,6444041;38;176,9829072
Totana;32008;2702;0,054710754;8441,63959;387;1209,072732;178;556,1109723
Ulea;874;10;0,000202482;1144,16476;2;228,8329519;0;0
Unión, La;20225;374;0,007572843;1849,196539;118;583,4363412;56;276,8850433
Villanueva del Río Segura;2910;159;0,003219471;5463,917526;24;824,742268;7;240,5498282
Yecla;34432;1171;0,023710693;3400,906134;555;1611,872677;315;914,8466543
Otras CCAA;0;1078;0,021827606;0;212;0;86;0
Desconocido;0;21;0,000425213;0;2;0;0;0
Región de Murcia;1493898;49387;1;3305,915129;10396;695,897578;4151;277,8636828
;;;;;;;;
;;;;;;;;
;;;;;;;;
Tabla 2. Casos confirmados COVID19 desde 10 de mayo por zona básica asignada. Región de Murcia;;;;;;;;
Zona Básica Salud;Población;Casos PCR/Ag.+ acum.;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.14 días;
Abanilla;6127;235;3835,482291;36;587,5632447;6;97,92720744;
Abarán;12964;237;1828,139463;51;393,3970997;15;115,7050293;
Águilas / Norte;20849;249;1194,301885;35;167,8737589;16;76,7422898;
Águilas / Sur;14519;198;1363,730284;18;123,9754804;3;20,66258007;
Alcantarilla / Casco;18862;522;2767,468985;122;646,8030962;51;270,3849009;
Alcantarilla / Sangonera;29395;1036;3524,408913;292;993,3662187;111;377,6152407;
Alguazas;9638;384;3984,229093;71;736,6673584;22;228,2631251;
Alhama de Murcia;22077;969;4389,183313;255;1155,04824;106;480,1376999;
Archena;24849;1055;4245,643688;221;889,3718057;87;350,1146927;
Beniel;11318;402;3551,864287;50;441,774165;19;167,8741827;
Blanca;6539;160;2446,857318;66;1009,328644;32;489,3714635;
Bullas;11530;270;2341,717259;54;468,3434519;25;216,8256722;
Calasparra;10555;122;1155,850308;56;530,5542397;25;236,8545713;
Caravaca;21057;987;4687,27739;436;2070,570357;163;774,0893765;
Caravaca / Barranda;4874;105;2154,288059;24;492,4086992;11;225,6873205;
Cartagena / Casco Antiguo;18323;277;1511,761174;48;261,9658353;12;65,49145882;
Cartagena / Este;25416;377;1483,317595;80;314,7623544;46;180,9883538;
Cartagena / Isaac Peral;22732;508;2234,735175;60;263,9450994;19;83,58261482;
Cartagena / Los Barreros;10446;149;1426,383305;31;296,7643117;9;86,15738082;
Cartagena / Los Dolores;16357;380;2323,164394;89;544,1095555;42;256,7708015;
Cartagena / Mar Menor;16711;158;945,4850099;41;245,347376;16;95,74531746;
Cartagena / Molinos Marfagones;15728;172;1093,591048;28;178,0264496;10;63,58087487;
Cartagena / Oeste;21777;339;1556,688249;67;307,6640492;20;91,84001469;
Cartagena / Pozo Estrecho;12780;201;1572,769953;36;281,6901408;20;156,4945227;
Cartagena / San Antón;18738;482;2572,312947;65;346,8886754;21;112,0717259;
Cartagena / Santa Ana;19191;287;1495,492679;58;302,2250013;26;135,480173;
Cartagena / Santa Lucía;10425;118;1131,894484;13;124,7002398;3;28,77697842;
Cartagena / La Manga;6866;62;903,0002913;17;247,5968541;6;87,38712496;
Cehegín;14606;413;2827,605094;223;1526,769821;80;547,720115;
Ceutí;11787;491;4165,606176;91;772,0369899;29;246,033766;
Cieza / Este;16485;469;2845,010616;83;503,4880194;34;206,2481043;
Cieza / Oeste;18503;0;0;0;0;0;0;
Fortuna;10112;501;4954,509494;83;820,806962;15;148,3386076;
Fuente Álamo;16583;719;4335,765543;176;1061,327866;78;470,3612133;
Jumilla;25600;1563;6105,46875;251;980,46875;111;433,59375;
La Unión;20411;364;1783,352114;116;568,3210034;55;269,4625447;
Librilla;5305;127;2393,967955;39;735,1555137;16;301,602262;
Lorca / Centro;18614;1140;6124,422478;108;580,2084453;47;252,4981197;
Lorca / La Paca;3352;105;3132,458234;12;357,9952267;8;238,6634845;
Lorca / San Diego;20480;1354;6611,328125;151;737,3046875;77;375,9765625;
Lorca / San José;24876;1258;5057,083132;147;590,9310178;64;257,2760894;
Lorca / Sutullena;14506;402;2771,267062;50;344,6849579;27;186,1298773;
Lorca San Cristóbal;10024;5;49,88028731;0;0;0;0;
Lorquí;7141;281;3935,023106;20;280,0728189;11;154,0400504;
Los Alcázares;16138;369;2286,52869;125;774,5693394;62;384,1863924;
Mazarrón;19343;361;1866,308225;81;418,7561392;34;175,7741819;
Mazarrón / Puerto;14195;370;2606,551603;77;542,4445227;26;183,1630856;
Molina / Este;28158;344;1221,677676;59;209,531927;14;49,7194403;
Molina / Norte;22005;718;3262,894797;106;481,7087026;37;168,1436037;
Molina / Sur;21727;1186;5458,645924;150;690,385235;47;216,320707;
Moratalla;7668;259;3377,673448;108;1408,450704;26;339,0714658;
Mula;24131;755;3128,755543;134;555,3023082;49;203,0583067;
Murcia / Algezares;12984;273;2102,5878;75;577,6340111;28;215,6500308;
Murcia / Aljucer;7699;201;2610,728666;68;883,2315885;22;285,7513963;
Murcia / Alquerías;14611;465;3182,533707;100;684,4158511;36;246,3897064;
Murcia / Barrio de El Carmen;16447;917;5575,484891;155;942,4211102;52;316,1670821;
Murcia / Beniaján;28622;675;2358,325763;123;429,7393613;45;157,2217176;
Murcia / Cabezo de Torres;21701;518;2386,986775;110;506,8890835;31;142,8505599;
Murcia / Campo de Cartagena;11708;307;2622,138709;86;734,5404851;31;264,7762214;
Murcia / Centro;19640;474;2413,441955;108;549,898167;40;203,6659878;
Murcia / El Palmar;23889;913;3821,842689;244;1021,390598;100;418,6027042;
Murcia / El Ranero;12534;346;2760,491463;80;638,2639221;25;199,4574757;
Murcia / Espinardo;26474;562;2122,837501;170;642,1394576;67;253,0784921;
Murcia / Floridabanca;10748;509;4735,764793;96;893,1894306;38;353,5541496;
Murcia / Infante Juan Manuel;18164;583;3209,645453;126;693,6798062;40;220,2158115;
Murcia / La Alberca;18920;510;2695,560254;136;718,8160677;60;317,1247357;
Murcia / La Ñora;13158;369;2804,377565;101;767,5938592;33;250,7979936;
Murcia / Llano de Brujas;13119;306;2332,494855;72;548,8223188;23;175,3182407;
Murcia / Monteagudo;14241;281;1973,176041;76;533,6703883;39;273,857173;
Murcia / Nonduermas;12785;457;3574,501369;110;860,3832616;31;242,4716465;
Murcia / Puente Tocinos;16655;624;3746,622636;102;612,4287001;37;222,1555089;
Murcia / San Andrés;26777;1072;4003,435784;184;687,1568884;83;309,9675094;
Murcia / Sangonera la Verde;12296;451;3667,859466;128;1040,988939;58;471,6981132;
Murcia / Santa María de Gracia;12406;388;3127,518942;80;644,8492665;36;290,1821699;
Murcia / Santiago El Mayor;27142;877;3231,154668;193;711,0750866;71;261,587208;
Murcia / Santiago y Zaraiche**;16613;0;0;0;0;0;0;
Murcia / Vista Alegre;15916;797;2450,12143;144;442,6819146;54;166,005718;
Murcia / Vistabella;14864;664;4467,168999;133;894,7793326;48;322,9278794;
Murcia / Zarandona;6936;161;2321,222607;36;519,0311419;8;115,3402537;
Puerto Lumbreras;17879;331;1851,333967;84;469,8249343;47;262,878237;
San Javier;30286;895;2955,1608;247;815,5583438;83;274,0540184;
San Pedro del Pinatar;25476;524;2056,837808;157;616,2662898;54;211,9642016;
Santomera;16206;440;2715,043811;41;252,9927187;15;92,55831174;
Torre Pacheco / Este;18795;780;4150,039904;138;734,2378292;61;324,5544028;
Torre Pacheco / Oeste;16881;569;3370,653397;153;906,3444109;73;432,4388366;
Torres de Cotillas;21471;714;3325,415677;145;675,3295142;38;176,9829072;
Totana / Norte;18986;1426;7510,79743;200;1053,407774;92;484,5675761;
Totana / Sur;14044;1121;7982,056394;182;1295,927086;75;534,0358872;
Yecla / Este;18667;653;3498,151819;311;1666,041678;175;937,4832592;
Yecla Oeste;15765;491;3114,494133;237;1503,330162;134;849,9841421;
Otras CCAA;0;1530;0;315;0;144;0;
Desconocido;0;2218;0;340;0;135;0;
Región de Murcia;1493898;49387;3305,915129;10396;695,897578;4151;277,8636828;
** Los casos de Murcia / Santiago y Zaraiche pertenecen a la zona Murcia / Vista Alegre;;;;;;;;
*  IA: Incidencia acumulada por 100.000 habitantes;;;;;;;;
Fuente: Servicio de Epidemiología. D.G. Salud Pública y Adicciones;;;;;;;;
;;;;;;;;
Los datos diarios mostrados en este fichero son provisionales y deben interpretarse con precaución por ser información dependiente del momento de su extracción.;;;;;;;;
El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones no se responsabiliza de los resultados derivados del uso de estos datos por parte de los usuarios de los mismos. Además, cualquier usuario se compromete a citar, en cualquier publicación obtenida a partir de ellos, al El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones de la Consejería de Salud como fuente del dato primario, así como a que el grado de exactitud o fiabilidad de la información derivada por elaboración propia de los autores es de la exclusiva responsabilidad de estos.;;;;;;;;
