Fecha;Codigo;Municipio;Activos;Curados;Casos;Fallecidos
29/12/2020;39001;ALFOZ DE LLOREDO;3;62;66;1
29/12/2020;39002;AMPUERO;5;102;112;5
29/12/2020;39003;ANIEVAS;1;16;17;0
29/12/2020;39004;ARENAS DE IGUÑA;2;49;51;0
29/12/2020;39005;ARGOÑOS;4;18;22;0
29/12/2020;39006;ARNUERO;3;51;54;0
29/12/2020;39007;ARREDONDO;1;12;14;1
29/12/2020;39008;ASTILLERO (EL);39;428;471;4
29/12/2020;39009;BARCENA DE CICERO;42;136;185;7
29/12/2020;39010;BARCENA DE PIE DE CONCHA;3;15;18;0
29/12/2020;39011;BAREYO;0;34;34;0
29/12/2020;39012;CABEZON DE LA SAL;22;328;367;17
29/12/2020;39013;CABEZON DE LIEBANA;0;19;19;0
29/12/2020;39014;CABUERNIGA;1;44;49;4
29/12/2020;39015;CAMALEÑO;0;17;19;2
29/12/2020;39016;CAMARGO;96;805;913;12
29/12/2020;39017;CAMPOO DE YUSO;1;32;33;0
29/12/2020;39018;CARTES;15;164;179;0
29/12/2020;39019;CASTAÑEDA;9;56;65;0
29/12/2020;39020;CASTRO-URDIALES;58;1029;1115;28
29/12/2020;39021;CIEZA;1;14;15;0
29/12/2020;39022;CILLORIGO DE LIEBANA;2;34;37;1
29/12/2020;39023;COLINDRES;22;217;241;2
29/12/2020;39024;COMILLAS;2;37;40;1
29/12/2020;39025;CORRALES DE BUELNA (LOS);33;332;367;2
29/12/2020;39026;CORVERA DE TORANZO;6;36;43;1
29/12/2020;39027;CAMPOO DE ENMEDIO;20;154;175;1
29/12/2020;39028;ENTRAMBASAGUAS;10;111;123;2
29/12/2020;39029;ESCALANTE;1;19;20;0
29/12/2020;39030;GURIEZO;3;44;48;1
29/12/2020;39031;HAZAS DE CESTO;7;38;45;0
29/12/2020;39032;HERMANDAD DE CAMPOO DE SUSO;14;69;85;2
29/12/2020;39033;HERRERIAS;0;11;11;0
29/12/2020;39034;LAMASON;0;6;6;0
29/12/2020;39035;LAREDO;46;409;462;7
29/12/2020;39036;LIENDO;1;31;32;0
29/12/2020;39037;LIERGANES;14;78;93;1
29/12/2020;39038;LIMPIAS;4;54;67;9
29/12/2020;39039;LUENA;2;10;12;0
29/12/2020;39040;MARINA DE CUDEYO;5;106;113;2
29/12/2020;39041;MAZCUERRAS;5;51;60;4
29/12/2020;39042;MEDIO CUDEYO;23;227;253;3
29/12/2020;39043;MERUELO;3;58;66;5
29/12/2020;39044;MIENGO;5;88;94;1
29/12/2020;39045;MIERA;0;9;9;0
29/12/2020;39046;MOLLEDO;1;54;57;2
29/12/2020;39047;NOJA;9;37;47;1
29/12/2020;39048;PENAGOS;1;73;74;0
29/12/2020;39049;PEÑARRUBIA;0;8;8;0
29/12/2020;39050;PESAGUERO;0;6;6;0
29/12/2020;39051;PESQUERA;0;0;0;0
29/12/2020;39052;PIELAGOS;56;508;583;19
29/12/2020;39053;POLACIONES;0;4;4;0
29/12/2020;39054;POLANCO;7;135;142;0
29/12/2020;39055;POTES;5;117;125;3
29/12/2020;39056;PUENTE VIESGO;7;44;54;3
29/12/2020;39057;RAMALES DE LA VICTORIA;0;63;65;2
29/12/2020;39058;RASINES;1;18;19;0
29/12/2020;39059;REINOSA;67;394;488;27
29/12/2020;39060;REOCIN;20;167;188;1
29/12/2020;39061;RIBAMONTAN AL MAR;3;100;104;1
29/12/2020;39062;RIBAMONTAN AL MONTE;13;32;46;1
29/12/2020;39063;RIONANSA;0;47;47;0
29/12/2020;39064;RIOTUERTO;3;50;53;0
29/12/2020;39065;ROZAS DE VALDEARROYO (LAS);1;7;8;0
29/12/2020;39066;RUENTE;0;19;19;0
29/12/2020;39067;RUESGA;2;15;19;2
29/12/2020;39068;RUILOBA;0;6;6;0
29/12/2020;39069;SAN FELICES DE BUELNA;14;71;85;0
29/12/2020;39070;SAN MIGUEL DE AGUAYO;0;8;8;0
29/12/2020;39071;SAN PEDRO DEL ROMERAL;2;29;32;1
29/12/2020;39072;SAN ROQUE DE RIOMIERA;0;27;27;0
29/12/2020;39073;SANTA CRUZ DE BEZANA;27;321;353;5
29/12/2020;39074;SANTA MARIA DE CAYON;19;277;307;11
29/12/2020;39075;SANTANDER;384;4997;5464;83
29/12/2020;39076;SANTILLANA DEL MAR;7;78;85;0
29/12/2020;39077;SANTIURDE DE REINOSA;0;60;74;14
29/12/2020;39078;SANTIURDE DE TORANZO;4;24;29;1
29/12/2020;39079;SANTOÑA;65;328;407;14
29/12/2020;39080;SAN VICENTE DE LA BARQUERA;1;95;96;0
29/12/2020;39081;SARO;1;17;18;0
29/12/2020;39082;SELAYA;5;101;107;1
29/12/2020;39083;SOBA;0;37;37;0
29/12/2020;39084;SOLORZANO;3;25;28;0
29/12/2020;39085;SUANCES;20;203;223;0
29/12/2020;39086;TOJOS (LOS);0;2;2;0
29/12/2020;39087;TORRELAVEGA;74;1663;1778;41
29/12/2020;39088;TRESVISO;0;0;0;0
29/12/2020;39089;TUDANCA;0;0;0;0
29/12/2020;39090;UDIAS;3;15;19;1
29/12/2020;39091;VALDALIGA;6;26;34;2
29/12/2020;39092;VALDEOLEA;9;53;67;5
29/12/2020;39093;VALDEPRADO DEL RIO;2;2;5;1
29/12/2020;39094;VALDERREDIBLE;6;25;32;1
29/12/2020;39095;VAL DE SAN VICENTE;13;97;115;5
29/12/2020;39096;VEGA DE LIEBANA;0;14;14;0
29/12/2020;39097;VEGA DE PAS;1;68;71;2
29/12/2020;39098;VILLACARRIEDO;2;149;159;8
29/12/2020;39099;VILLAESCUSA;7;87;95;1
29/12/2020;39100;VILLAFUFRE;0;23;23;0
29/12/2020;39101;VILLAVERDE DE TRUCIOS;0;1;1;0
29/12/2020;39102;VOTO;3;39;44;2
29/12/2020;39999;DESCONOCIDO;83;547;633;3
