Concejo,Total 2ª onda,IA 14 días,IA 7 días,IA 1 día
Allande,2851.9,0,0,0
Aller,1856.2,113.1,75.4,9.4
Amieva,453.9,0,0,0
Avilés,2746.2,179.1,115.1,21.7
Belmonte de Miranda / Miranda,1074.5,0,0,0
Bimenes,2260.6,0,0,0
Boal / Bual,398.7,0,0,0
Cabrales,765.3,0,0,0
Cabranes,773.7,0,0,0
Candamo / Candamu,924.5,256.8,205.4,51.4
Cangas del Narcea,2065.3,97.2,89.1,24.3
Cangas de Onís,1363,16.2,16.2,0
Caravia,,,,
Carreño,2457.2,48.4,9.7,0
Caso / Casu,729.9,0,0,0
Castrillón,2386.5,384.3,250.3,53.6
Castropol,323.3,0,0,0
Coaña / Cuaña,784.3,30.2,0,0
Colunga,1105.3,61.4,61.4,61.4
Corvera de Asturias / Corvera,2103,321.6,186.5,6.4
Cudillero / Cuideiru,2145.6,80.2,40.1,0
Degaña,,0,,
"Franco, El",526.9,26.3,26.3,0
Gijón,3135.6,133.9,68.8,14
Gozón,2448.5,87.1,19.4,9.7
Grado / Grau,1809.1,582.6,511,265.7
Grandas de Salime,598.8,0,0,0
Ibias,1279,0,0,0
Illano / Eilao,,0,,
Illas,2268.2,591.7,394.5,0
Langreo / Llangréu,3465.2,210.6,121.8,2.5
Laviana,4515.7,15.4,7.7,0
Lena,4031.2,110.2,27.5,0
Valdés,1660.3,34.8,17.4,0
Llanera,1773.5,94.9,58.4,0
Llanes,1245.6,36.9,29.5,0
Mieres,2550.1,194.9,115.9,23.7
Morcín,1310.7,38.6,0,0
Muros de Nalón / Muros,1603.4,320.7,160.3,0
Nava,2104.9,37.6,37.6,0
Navia,608.6,83.5,71.6,0
Noreña,1892.3,0,0,0
Onís,807.5,0,0,0
Oviedo,2193.1,164.8,95.6,20
Parres,1611.7,37.5,18.7,0
Peñamellera Alta,,,,
Peñamellera Baja,1141.9,244.7,163.1,0
Pesoz / Pezós,680.3,0,0,0
Piloña,1089.9,28.7,0,0
Ponga,2389.1,0,0,0
Pravia,1528.4,74,24.7,0
Proaza,806.5,0,0,0
Quirós,1640.8,518.1,0,0
"Regueras, Las / Regueres, Les",1314.3,164.3,54.8,54.8
Ribadedeva / Ribedeva,512.5,113.9,113.9,56.9
Ribadesella / Ribesella,748.3,17.4,17.4,17.4
Ribera de Arriba,1186.6,107.9,107.9,53.9
Riosa,3175.5,107.6,0,0
Salas,927.6,0,0,0
SMRA,3129.3,56,49.8,0
San Martín de Oscos / Samartín d'Ozcos,,,,
Santa Eulalia de Oscos / Santalla d'Ozcos,,,,
San Tirso de Abres / San Tiso d'Abres,731.7,0,0,0
Santo Adriano / Santu Adrianu,347.2,1041.7,694.4,347.2
Sariego,1278,0,0,0
Siero,2347.7,102.6,60,17.4
Sobrescobio / Sobrescobiu,4439,0,0,0
Somiedo / Somiedu,867.3,0,0,0
Soto del Barco,3362.6,155.2,103.5,51.7
Tapia de Casariego,607.5,158.5,158.5,105.7
Taramundi,963.1,0,0,0
Teverga,2862.6,0,0,0
Tineo,1363.3,32,10.7,0
Vegadeo,534.9,0,0,0
Villanueva de Oscos,,,,
Villaviciosa,2507.1,34.6,27.7,0
Villayón,,,,
Yernes y Tameza / Tameza,,,,